% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,time_to_equilibrium_final {tbl31} - Pressure {gev21} (sw1(t))
% Switch 1 index,K_ads (m^3/kg),Pressurization cycles index,t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28E-6,2,163,-15,2.0370694834915695E-6,5.014268261857196,0.5228424530631993,3.1793315722428045E-5,2.1331482456180803E-9,409.20054806796907,0.0077088,0.021564912799824292,0.20892784424405006,53082.26287722723,283341.3892768911,5.6908343979637035,0.2706600070289289,5.685143563565622
1,5.28E-6,2,164,-15,2.0372455796744568E-6,5.014701724489689,0.5228876506183049,3.179575674746332E-5,2.133312024329209E-9,409.23196563985755,0.0077088,0.02156656850923465,0.20894590518707032,53086.33842360131,283363.14364283363,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,165,-15,2.0374198800361957E-6,5.01513076668927,0.5229323872507274,3.179817194555136E-5,2.1334740702010295E-9,409.2630508022214,0.0077088,0.021568206700627365,0.20896378194538637,53090.370849188206,283384.66783954325,5.690834397963704,0.27066000702892895,5.685143563565623
1,5.28E-6,2,166,-15,2.0375923845767855E-6,5.0155553884559385,0.5229766629604647,3.180056131669217E-5,2.1336343832335428E-9,409.29380355506083,0.0077088,0.021569827374002492,0.20898147451899737,53094.36015398776,283405.96186701854,5.6908343979637035,0.2706600070289289,5.685143563565622
1,5.28E-6,2,167,-15,2.0377630932962274E-6,5.015975589789696,0.5230204777475184,3.18029248608857E-5,2.1337929634267453E-9,409.3242238983751,0.0077088,0.02157143052935993,0.208998982907904,53098.30633800007,283427.02572525997,5.690834397963705,0.270660007028929,5.685143563565624
1,5.28E-6,2,168,-15,2.0379320061945205E-6,5.016391370690541,0.5230638316118873,3.180526257813189E-5,2.1339498107806424E-9,409.3543118321635,0.0077088,0.021573016166699734,0.2090163071121058,53102.20940122505,283447.8594142681,5.690834397963705,0.270660007028929,5.685143563565623
1,5.28E-6,3,0,-5,1.3980072971327213E-6,3.441209873627945,0.35881818001626764,2.8004144165019794E-5,1.878916672837222E-9,360.43145800036024,0.0077088,0.018994776519214843,0.14338374473449758,46755.84500834893,249572.3686859635,1.8968527182121864,0.0902156229019525,1.894955865493935
1,5.28E-6,3,1,-3.8416000000000006,1.3642745179024327E-6,3.358176277744532,0.35015953408293793,2.7993074894433982E-5,1.878173988578158E-9,360.28898932455525,0.0077088,0.01898726840470974,0.1399237498195391,46737.36370440987,249473.71956948098,1.4018471897024385,0.06667281872656704,1.400445342512707
1,5.28E-6,3,2,15,8.022491227594326E-7,1.9747447728000136,0.20590848893422964,2.6372371691941895E-5,1.7694341445415477E-9,339.4294902869182,0.0077088,0.017887970566721655,0.08228103217811646,44031.43035062762,235030.0452761555,-5.697311749580375,-0.270968074337077,-5.691614437830675
1,5.28E-6,3,3,15,7.473590063275127E-7,1.8396321657216987,0.19182017076655017,2.5155279307253567E-5,1.687774260186625E-9,323.76472366704394,0.0077088,0.017062435684664066,0.07665134023831185,41999.36743293949,224183.34246080133,-5.689936353432316,-0.2706172954119357,-5.684246417078765
