% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 23 2019, 17:08"
% Table,transient_parametric_sweep_2 {tbl20} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28E-8,1,-5.006022144,1.439707317888781E-6,3.543854919509003,0.3695210743797538,2.7301706102116E-7,1.8312768822734847E-11,3.512927455603925,7.708799999999999E-5,0.018513165392834277,0.1476606213221463,45570.35408369562,243244.480096449,1.4591985782092691,0.06940049029998901
5.28E-8,2,-5.932511744,1.470252188988319E-6,3.6190414455250006,0.37736071698705287,2.734310375704391E-7,1.8340536526396355E-11,3.518254117536697,7.708799999999999E-5,0.018541236958387285,0.15079334250802293,45639.452541727595,243613.3123962504,1.7386858230223927,0.08269309633201197
5.28E-8,3,-8.885753344000001,1.5816077365204697E-6,3.8931443135406485,0.4059393860213946,2.7567275635264096E-7,1.849090104087211E-11,3.547098452129873,7.708799999999999E-5,0.01869324691125946,0.16221337865414562,46013.62666212476,245610.57116703803,2.6095429428875767,0.12411166129117578
5.28E-8,4,-12.491026944000001,1.7417698243098783E-6,4.28738500099069,0.4470445483841932,2.8002401488511247E-7,1.8782764088899464E-11,3.6030863655151295,7.708799999999999E-5,0.01898830381567899,0.17863900153431958,46739.91237955496,249487.32383420639,3.6584150083238915,0.17399673977896676
5.28E-8,5,-14.682412544000002,1.8654518227517916E-6,4.591829559399845,0.47879376150160075,2.8480279064945607E-7,1.9103303089285705E-11,3.664575169635822,7.708799999999999E-5,0.019312350473311535,0.19132598709603532,47537.556683735755,253744.97286884024,4.286323922548982,0.2038605205979099
5.28E-8,6,-15,1.9100753962269682E-6,4.701670961482858,0.4902560751195847,2.88373032229296E-7,1.934277899767172E-11,3.710513689455968,7.708799999999999E-5,0.019554446965789812,0.19590632761778162,48133.47978227438,256925.87868351195,4.372178870240442,0.2079438410955075
5.28E-8,7,-15,1.9279131756615758E-6,4.745578845826427,0.4948259302532401,2.906264555873421E-7,1.949392860297953E-11,3.7395086275524028,7.708799999999999E-5,0.01970725060074045,0.1977324417291903,48509.60755957349,258933.56564312897,4.370534056693405,0.20786561262933362
5.28E-8,8,-15,1.940778681896167E-6,4.777247426651791,0.4981280618950201,2.9231336274601227E-7,1.9607078824092476E-11,3.761214166578362,7.708799999999999E-5,0.01982163902435771,0.19905197353324552,48791.17588442255,260436.51514103604,4.370541258849055,0.20786595516882125
5.28E-8,9,-15,1.9501564972860346E-6,4.800331019261686,0.5005350161772865,2.9357513951023635E-7,1.9691713191273405E-11,3.777449526454067,7.708799999999999E-5,0.019907199545145433,0.20001379246443912,49001.78401896612,261560.6948236661,4.370541774960524,0.20786597971543852
5.28E-8,10,-15,1.9590624600890217E-6,4.822253141695996,0.5028208564491099,2.947788237664664E-7,1.977245097167977E-11,3.7929374064267445,7.708799999999999E-5,0.019988820838822093,0.20092721423705973,49202.69570395837,262633.1170012838,4.370541931932838,0.20786598718114996
