% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,sand_time_to_equilibrium_final {tbl32} - Pressure {gev21} (sw1(t))
% Switch 1 index,Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
2,2,0,128,-15,7.588962855372765E-6,18.680313015580207,1.947813752875856,0,0,0,0,0.008382088746872489,0.7783463756491757,20632.60085732224,110132.26404515769,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,129,-15,7.5880485535945175E-6,18.67806245200072,1.9475790845012828,0,0,0,0,0.00838092166052143,0.7782526021666964,20629.728061820453,110116.92969759113,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,130,-15,7.58713425181627E-6,18.67581188842124,1.9473444161267113,0,0,0,0,0.008379754574170383,0.7781588286842176,20626.855266318704,110101.59535002454,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,131,-15,7.586219950038022E-6,18.673561324841753,1.947109747752142,0,0,0,0,0.008378587487819321,0.7780650552017396,20623.982470816944,110086.26100245783,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,132,-15,7.585305648259774E-6,18.671310761262266,1.9468750793775684,0,0,0,0,0.008377420401468261,0.7779712817192601,20621.109675315147,110070.92665489145,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,133,-15,7.584391346481527E-6,18.669060197682782,1.9466404110029996,0,0,0,0,0.008376253315117186,0.7778775082367824,20618.236879813358,110055.59230732477,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,134,-15,7.583477044703279E-6,18.666809634103295,1.9464057426284271,0,0,0,0,0.008375086228766131,0.7777837347543033,20615.3640843116,110040.25795975806,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,135,-15,7.582562742925031E-6,18.66455907052381,1.9461710742538583,0,0,0,0,0.008373919142415073,0.7776899612718258,20612.49128880984,110024.92361219156,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,136,-15,7.581648441146785E-6,18.66230850694433,1.9459364058792867,0,0,0,0,0.008372752056064007,0.7775961877893469,20609.618493308066,110009.58926462501,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,137,-15,7.580734139368536E-6,18.66005794336484,1.945701737504717,0,0,0,0,0.008371584969712945,0.7775024143068687,20606.745697806284,109994.25491705834,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,138,-15,7.579819837590289E-6,18.657807379785357,1.9454670691301428,0,0,0,0,0.008370417883361887,0.777408640824389,20603.87290230451,109978.92056949175,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,139,-15,7.578905535812042E-6,18.655556816205873,1.9452324007555728,0,0,0,0,0.008369250797010827,0.7773148673419107,20601.00010680271,109963.58622192527,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,140,-15,7.5779912340337935E-6,18.653306252626386,1.9449977323810017,0,0,0,0,0.00836808371065976,0.777221093859432,20598.127311300992,109948.25187435863,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,141,-15,7.577135428658514E-6,18.65119967856675,1.9447780779286705,0,0,0,0,0.008366991641745406,0.7771333199402806,20595.439172019836,109933.90318089278,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,142,-15,7.57643498067484E-6,18.649475518383664,1.9445982981298005,0,0,0,0,0.008366098807530994,0.7770614799326521,20593.241451077673,109922.1722321495,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,143,-15,7.575734532691166E-6,18.647751358200576,1.9444185183309302,0,0,0,0,0.008365205973316565,0.7769896399250235,20591.04373013549,109910.44128340638,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,144,-15,7.575034084707493E-6,18.646027198017492,1.944238738532062,0,0,0,0,0.008364313139102126,0.7769177999173958,20588.84600919337,109898.71033466292,95.31197628391766,4.533103296798972,95.21666430763175
2,2,0,145,-15,7.5743336367238185E-6,18.644303037834405,1.9440589587331893,0,0,0,0,0.008363420304887714,0.7768459599097662,20586.648288251206,109886.97938591943,95.31197628391763,4.533103296798971,95.21666430763175
