% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 11:31"
% Table,Table 26 {tbl26} - Pressure {gev21} (sw1(t))
% Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),u_ck (cm/h),c_gas (ug/m^3)
2,0,155,-15,7.44812390575295E-6,18.333636438843364,1.9116654611740658,0,105.03203303615716,20036.70440023864
2,0,156,-15,7.447208537854326E-6,18.331383250997206,1.9114305191647478,0,105.03203303615719,20033.98305492758
2,0,157,-15,7.446301864043268E-6,18.32915146374032,1.9111978086149382,0,105.0320330361572,20031.28920874559
2,0,158,-15,7.445403884319772E-6,18.3269410770727,1.9109673295246368,0,105.03203303615719,20028.622861692675
2,0,159,-15,7.4445145986838405E-6,18.324752090994362,1.9107390818938472,0,105.03203303615722,20025.984013768862
2,0,160,-15,7.4436340071354715E-6,18.32258450550529,1.9105130657225642,0,105.0320330361572,20023.372664974155
2,0,161,-15,7.442762109674667E-6,18.320438320605493,1.9102892810107905,0,105.03203303615719,20020.788815308577
2,0,162,-15,7.441898906301426E-6,18.31831353629497,1.9100677277585263,0,105.03203303615719,20018.232464772016
2,0,163,-15,7.441044397015749E-6,18.31621015257372,1.9098484059657688,0,105.03203303615719,20015.703613364596
2,0,164,-15,7.4401864782623835E-6,18.314098376411383,1.9096282090853132,0,105.03203303615719,20013.16166382408
2,0,165,-15,7.439332282665677E-6,18.311995764838883,1.9094089678052297,0,105.03203303615719,20010.6305401145
2,0,166,-15,7.43848501738467E-6,18.309910212312396,1.9091915052878707,0,105.03203303615719,20008.12099956084
2,0,167,-15,7.437644682419365E-6,18.307841718831927,1.9089758215332338,0,105.03203303615715,20005.633042163
2,0,168,-15,7.436811277769765E-6,18.305790284397492,1.9087619165413205,0,105.03203303615716,20003.166667921032
3,0,0,-5,3.4624464574883187E-6,8.522848887022468,0.8886854445093683,0,35.008969202395676,19196.534757948844
3,0,1,-3.8416000000000006,3.0783906692217015E-6,7.577491467703092,0.7901169402912076,0,26.679676987217917,19124.775520112038
3,0,2,15,1.5723195947250851E-7,0.387028145344007,0.040355787511888265,0,-105.01663701613982,9432.220497596247
3,0,3,15,1.177419884375481E-7,0.28982316042475714,0.030220132677896205,0,-105.01665972308342,7139.799190125319
3,0,4,15,1.025753372456985E-7,0.2524902867421178,0.02632739893457249,0,-105.0166597525606,6225.8211444001345
3,0,5,15,9.379877099493834E-8,0.2308866753013126,0.024074770114001262,0,-105.01665975259552,5692.501418234627
3,0,6,15,8.781401077936263E-8,0.21615512419469515,0.022538697467748985,0,-105.01665975259544,5327.862224841289
